id,title,url,instructor,image_url,price,rating
870008,Building a Responsive Application with Bootstrap,https://www.udemy.com/course/building-a-responsive-application-with-bootstrap/,Packt Publishing,https://img-c.udemycdn.com/course/125_H/870008_80f1_2.jpg,455 INR,3.9899137
98584,The Fastest And Easiest Way To Learn Joomla 3 For Beginners,https://www.udemy.com/course/joomla-for-absolute-beginners/,Mathew Tamin,https://img-c.udemycdn.com/course/125_H/98584_417e_5.jpg,455 INR,3.734134
2699732,WebGL 2D/3D Programming and Graphics Rendering For The Web,https://www.udemy.com/course/webgl-programming/,Frahaan Hussain,https://img-c.udemycdn.com/course/125_H/2699732_9dc3.jpg,455 INR,3.6430414
355142,Building an App UI with PrimeFaces,https://www.udemy.com/course/building-an-app-ui-with-primefaces/,Packt Publishing,https://img-c.udemycdn.com/course/125_H/355142_461a_2.jpg,455 INR,3.6246572
1670680,jQuery for Beginner to Advanced: 12 Projects included,https://www.udemy.com/course/jquery-for-beginner-to-advanced-12-projects-included/,Sandip Bhattacharya,https://img-c.udemycdn.com/course/125_H/1670680_5170_2.jpg,455 INR,4.247092
4197696,"Machine Learning Model Deployment with Flask, React & NodeJS",https://www.udemy.com/course/machine-learning-model-deployment-with-flask-react-nodejs/,Jordan Sauchuk and Juan Pablo Mejia and Ligency | Team,https://img-c.udemycdn.com/course/125_H/4197696_f2a7_3.jpg,455 INR,4.068325
3287430,Mastering JMeter 5.0,https://www.udemy.com/course/mastering-jmeter-50/,Packt Publishing,https://img-c.udemycdn.com/course/125_H/3287430_ff97_2.jpg,455 INR,4.356167
4146182,The Complete 2021 Android Machine Learning Course Android ML,https://www.udemy.com/course/the-complete-android-machine-learning-course/,Hamza Asif,https://img-c.udemycdn.com/course/125_H/4146182_906e_12.jpg,455 INR,4.162645
3746698,Tensorflow lite for Flutter 2021-Smart Flutter Applications,https://www.udemy.com/course/tensorflow-lite-for-flutter-smart-mobile-app-development/,Hamza Asif,https://img-b.udemycdn.com/course/125_H/3746698_3823_4.jpg?secure=dJEP52e9Kmk9Xg6jpTvC-A%3D%3D%2C1636834522,455 INR,3.8653426
1845295,Dart 2 Programming Bootcamp For Complete Beginners,https://www.udemy.com/course/dart-2-hands-on-programming-complete-beginners-practical-exercises/,Christian Stojkoski,https://img-c.udemycdn.com/course/125_H/1845295_e10e_7.jpg,455 INR,4.2032485
2408474,Video Game Programming for Kids and Beginners,https://www.udemy.com/course/introduction-to-game-development-educode/,Guyverson Vernous,https://img-c.udemycdn.com/course/125_H/2408474_28d7_2.jpg,455 INR,3.413806
2582158,Laravel Full Stack Project Bootcamp 2021 - beginners to pro,https://www.udemy.com/course/laravel-6-full-course-build-a-job-hr-management-portal/,Dave Partner,https://img-c.udemycdn.com/course/125_H/2582158_8ab3_3.jpg,455 INR,2.8684359
877036,Sara Learns to Code.  Making an App from Scratch,https://www.udemy.com/course/sara-learns-to-code-making-an-app-from-scratch/,Sara Jean Underwood and Stephanie Elizabeth,https://img-c.udemycdn.com/course/125_H/877036_f605.jpg,455 INR,4.0124984
257372,Learn Java with NetBeans!,https://www.udemy.com/course/learnjavawithnetbeans/,E Learning Lab and Jess Nault,https://img-c.udemycdn.com/course/125_H/257372_eb05_5.jpg,9280 INR,3.9840865
4293818,Shopify Theme Development for Online Store 2.0,https://www.udemy.com/course/shopify-theme-development-for-online-store-20/,Working With Shopify,https://img-b.udemycdn.com/course/125_H/4293818_3149_4.jpg?secure=ysom1LU7iaSSTjCsanpF-g%3D%3D%2C1636865515,455 INR,4.4473343
1760998,A Beginner introduction to Natural Language Processing,https://www.udemy.com/course/natural-language-processing-bootcamp/,Up Degree,https://img-b.udemycdn.com/course/125_H/1760998_ae00_5.jpg?secure=JwmMXvt9iUwjt6_M7xwJ6g%3D%3D%2C1636870697,455 INR,3.8287604
1583120,Demystifying Templates in C++,https://www.udemy.com/course/demystifying-templates-in-cpp/,Bhalchandra Gholkar and Daryl Newell,https://img-c.udemycdn.com/course/125_H/1583120_2854_2.jpg,455 INR,4.136412
1724724,Apps Script Form Data Handler Exercise Google Form Sheet,https://www.udemy.com/course/google-apps-script/,Laurence Svekis,https://img-c.udemycdn.com/course/125_H/1724724_ad84.jpg,455 INR,3.7686312
1540944,Fundamentals of Machine Learning for iOS and Core ML,https://www.udemy.com/course/core-ml-basics/,Brain Labs,https://img-c.udemycdn.com/course/125_H/1540944_274e_2.jpg,455 INR,4.3656955
3278938,Unity 2D and 3D Games From Scratch and learn C# Scripting,https://www.udemy.com/course/master-unity-by-building-2d-and-3d-games-from-scratch/,Raja Haris,https://img-c.udemycdn.com/course/125_H/3278938_f548_5.jpg,455 INR,4.2482533
404386,Create Websites and Hybrid APPs with Google Material Design,https://www.udemy.com/course/create-material-designed-websites-and-hybrid-apps/,QScutter Tutorials,https://img-b.udemycdn.com/course/125_H/404386_8640_5.jpg?secure=DRuWp3cYn2TEsodA_e26Ww%3D%3D%2C1636839403,455 INR,3.8612232
4085892,Java Servlet and JSP: Build a Tweet Web App,https://www.udemy.com/course/java-servlet-and-jsp-build-a-tweet-web-app/,Shota Fukuda,https://img-b.udemycdn.com/course/125_H/4085892_336a_2.jpg?secure=h1yO_JxhM_yPBgMoXJmr2w%3D%3D%2C1636854730,455 INR,4.1502023
1595086,Unity Machine Learning with Python!,https://www.udemy.com/course/unity-machine-learning-with-python/,Mammoth Interactive and John Bura,https://img-b.udemycdn.com/course/125_H/1595086_91b5.jpg?secure=q6cvXTWjujaW5-IJHIYoZg%3D%3D%2C1636869939,455 INR,4.3304424
1067780,A complete journey to web analytics using R tool,https://www.udemy.com/course/a-complete-journey-to-web-analytics-using-r-programming-tool/,Elementary Learners,https://img-c.udemycdn.com/course/125_H/1067780_6fe1.jpg,455 INR,3.4701607
1262850,PHP and MySQL beginner to developer - 2 projects included,https://www.udemy.com/course/php-and-mysql-beginner-to-developer-2-projects-included/,Fast & Easy Programming,https://img-c.udemycdn.com/course/125_H/1262850_95a2.jpg,455 INR,4.2230234
2728478,Learn Python Monster Course : Grow Your Python3 Skills,https://www.udemy.com/course/learnpythoncourse/,Lernen Hub Academy,https://img-b.udemycdn.com/course/125_H/2728478_35d0_2.jpg?secure=ScvdYQBVxb67nnG3m2R_Rg%3D%3D%2C1636850047,455 INR,3.936773
2984774,Certification Course For Node.js Programmer,https://www.udemy.com/course/nodejs-beginners-course-2020/,MdJahidul Said,https://img-c.udemycdn.com/course/125_H/2984774_4f68.jpg,455 INR,2.632375
4279410,Python Microservices: Breaking a Monolith to Microservices,https://www.udemy.com/course/python-microservices/,Antonio Papa,https://img-b.udemycdn.com/course/125_H/4279410_e757.jpg?secure=C6VJynS0pKgXoW2SRu8bzg%3D%3D%2C1636852262,455 INR,4.04191
2198314,Android Jetpack Architecture Components,https://www.udemy.com/course/android-jetpack-architecture-components/,Packt Publishing,https://img-c.udemycdn.com/course/125_H/2198314_2fa6_2.jpg,455 INR,3.7518566
782194,Canvas image Creator HTML5 JavaScript project from Scratch,https://www.udemy.com/course/canvas-image-maker-html5-javascript-project-from-scratch/,Laurence Svekis,https://img-b.udemycdn.com/course/125_H/782194_4bc2_4.jpg?secure=JaY5ZUfMrnKwK00LjGl3ww%3D%3D%2C1636869527,455 INR,3.8764436
